,0,1,2,mean,std,urine_base
L-PFBS_10,1.1482,1.2254,1.1345,1.1693666666666667,0.04001435853401735,-0.09800000000000003
L-PFBS_50,1.4472999999999998,1.48034,1.3448999999999998,1.4241799999999998,0.057659339804290825,-0.09800000000000003
L-PFBS_100,1.4200799999999998,1.7211699999999999,1.49963,1.5469599999999997,0.12739412257504923,-0.09800000000000003
L-PFDOS_10,0.1991,0.2569,0.2163,0.2241,0.024232760194964727,-0.0005000000000000004
L-PFDOS_50,0.33336,0.25358,0.14898,0.24530666666666667,0.07549981074295631,-0.0005000000000000004
L-PFDOS_100,0.23268999999999998,0.36145000000000005,0.20190999999999998,0.26535,0.06910503889008388,-0.0005000000000000004
L-PFDS_10,0.5756666666666667,0.6757666666666667,0.6019666666666666,0.6178,0.04237155754617585,0.031000000000000028
L-PFDS_50,0.8398933333333332,0.8074333333333332,0.6114933333333333,0.7529399999999998,0.100891963780846,0.031000000000000028
L-PFDS_100,0.7428866666666667,0.8842766666666667,0.8052466666666668,0.8108033333333333,0.0578558002470126,0.031000000000000028
L-PFHpS_10,0.8247666666666668,0.8890666666666668,0.8645666666666667,0.8594666666666667,0.02649691805977946,-1.3059999999999998
L-PFHpS_50,1.1252733333333333,1.1526533333333333,0.9693933333333332,1.0824399999999998,0.08071380606122411,-1.3059999999999998
L-PFHpS_100,1.0005566666666668,1.2271266666666667,1.0417766666666666,1.0898199999999998,0.09853802187762628,-1.3059999999999998
L-PFHxS_10,1.3743999999999998,1.6369,1.8136000000000003,1.6083,0.18043951895302776,-10.433666666666669
L-PFHxS_50,1.95708,1.8357199999999998,1.72606,1.83962,0.09435382910442304,-10.433666666666669
L-PFHxS_100,1.66618,2.28959,1.8671700000000002,1.9409800000000004,0.2598024173610913,-10.433666666666669
L-PFNS_10,0.7397666666666667,0.8607666666666667,0.7350666666666668,0.7785333333333334,0.058179396887749014,0.034999999999999976
L-PFNS_50,1.0369533333333332,1.0594733333333333,0.8481533333333333,0.9815266666666665,0.09475625619920239,0.034999999999999976
L-PFNS_100,0.9551766666666667,1.0903566666666666,1.0180166666666666,1.0211833333333333,0.0552324115795145,0.034999999999999976
L-PFOS_10,1.0513333333333335,1.1707333333333332,1.2461333333333333,1.1560666666666666,0.08020013854241283,-7.015666666666666
L-PFOS_50,1.4866466666666667,1.4593466666666668,1.3027666666666666,1.4162533333333334,0.08101744722931944,-7.015666666666666
L-PFOS_100,1.3807433333333332,1.6451833333333334,1.4072333333333333,1.47772,0.11890726367869868,-7.015666666666666
L-PFPES_10,0.6614666666666668,0.6735666666666666,0.6896666666666667,0.6749,0.011551142319653408,-2.270666666666666
L-PFPES_50,0.8317933333333333,0.8995533333333334,0.7531333333333333,0.82816,0.05983090022908085,-2.270666666666666
L-PFPES_100,0.6773866666666666,0.9203266666666665,0.7587566666666666,0.7854899999999999,0.10096522250535353,-2.270666666666666
PFBA_10,,,,,,-0.36366666666666664
PFBA_50,0.006919999999999999,0.01232,,0.00962,0.0027,-0.36366666666666664
PFBA_100,0.00598,0.00703,0.00713,0.006713333333333334,0.0005201495511442411,-0.36366666666666664
PFDA_10,0.7967000000000001,0.8172,0.7784000000000001,0.7974333333333333,0.015848519033510824,-0.00033333333333335213
PFDA_50,1.04682,1.10754,0.8306,0.9949866666666667,0.11885274287490756,-0.00033333333333335213
PFDA_100,0.9293399999999999,1.12804,0.9958,1.0177266666666667,0.08258735388800285,-0.00033333333333335213
PFDoA_10,0.7092666666666667,0.7758666666666667,0.7426666666666667,0.7426,0.027189377010557306,0.023666666666666655
PFDoA_50,0.9661333333333333,0.9156733333333332,0.6026333333333332,0.8281466666666666,0.1607871274560111,0.023666666666666655
PFDoA_100,0.8669166666666667,1.0769366666666667,0.9452166666666666,0.9630233333333332,0.0866599028129824,0.023666666666666655
PFHpA_10,1.5185,1.7950999999999997,1.5109,1.6081666666666665,0.13221823710147626,-0.04333333333333331
PFHpA_50,2.11536,2.0909,1.9668800000000002,2.0577133333333335,0.06500048068198322,-0.04333333333333331
PFHpA_100,2.10312,2.46149,2.17101,2.245206666666667,0.15542655979236264,-0.04333333333333331
PFHxA_10,0.8601000000000001,1.0116,0.8135999999999999,0.8950999999999999,0.08453697415923998,-0.4656666666666667
PFHxA_50,1.08456,1.10976,0.9909600000000001,1.0617600000000003,0.05110929465371244,-0.4656666666666667
PFHxA_100,1.04026,1.22822,1.08726,1.11858,0.07986633500209382,-0.4656666666666667
PFHxDA_10,0.0635,0.0944,0.07089999999999999,0.07626666666666666,0.013173289473611195,-0.382
PFHxDA_50,0.09218,0.19558,0.050359999999999995,0.11270666666666668,0.061036710993375855,-0.382
PFHxDA_100,0.049850000000000005,0.04076,0.01873,0.03644666666666666,0.013065660675560534,-0.382
PFNA_10,0.8784333333333333,0.9312333333333334,0.8822333333333333,0.8973,0.024044588210701875,0.11233333333333337
PFNA_50,1.1737266666666666,1.2196466666666665,0.9785466666666666,1.123973333333333,0.10452702404428987,0.11233333333333337
PFNA_100,1.0438233333333333,1.2817033333333334,1.1578333333333333,1.1611200000000002,0.09714190730861508,0.11233333333333337
PFOA_10,1.4182,1.5067,1.3754,1.4334333333333333,0.054674572599050904,1.1593333333333333
PFOA_50,1.8503999999999998,1.86722,1.59516,1.7709266666666668,0.12447534945611613,1.1593333333333333
PFOA_100,1.69757,2.06031,1.7670100000000002,1.84163,0.15720726276691746,1.1593333333333333
PFODA_10,0.0789,0.24020000000000002,0.0615,0.12686666666666668,0.08045298143774551,
