,ME-1,ME-2,ME-3,ME_mean,ME_std
L-PFBS,0.7197973892444937,0.918728894712968,0.8107202257950707,0.8164155032508441,0.08131323428963698
L-PFDOS,0.5900385191525787,0.7136208003423925,0.6593729937941365,0.6543441044297026,0.05057741493459535
L-PFDS,0.689507723555508,0.7994280827409268,0.7572558661606714,0.7487305574857022,0.04527789752823114
L-PFHpS,0.7075784569000959,0.8295189804029053,0.7454296286144991,0.7608423553058334,0.05096101075712116
L-PFHxS,1.265660250564009,1.5611769788316614,1.4102865645850335,1.412374597993568,0.12065323337051721
L-PFNS,0.7209907685702017,0.8268570201803349,0.7812902533276084,0.7763793473593816,0.04335899411169175
L-PFOS,1.0352406298514083,1.275892659126192,1.030405854956753,1.1138463813114512,0.11460102058091122
L-PFPES,0.5700428283745071,0.6499702186799785,0.5904075786368664,0.6034735418971174,0.03391299138677742
PFBA,,,,,
PFDA,0.6771649245380859,0.8103490625255861,0.8102398951993668,0.7659179607543463,0.06275788958412534
PFDoA,0.7689922139620815,0.9348964061056614,0.9391633308406282,0.8810173169694572,0.07923286119421785
PFHpA,0.8741357802820475,1.057191788062668,1.007590333424953,0.9796393005898896,0.07730166308497614
PFHxA,0.6410715717990536,0.7136058604924739,0.6935272571718847,0.682734896487804,0.03057953614120153
PFHxDA,0.3648954211418881,0.5167630560507892,0.3386528677653607,0.406770448319346,0.07851092585792259
PFNA,0.6332690923444865,0.7464183713748346,0.6767130285369308,0.6854668307520839,0.04660587678385927
PFOA,0.9222863324918861,1.1008384421204471,1.0945952037504507,1.0392399927875946,0.08273799408880682
PFODA,0.31346553831986407,0.23989012908245083,0.2049918231903847,0.2527824968642332,0.04521280481429581
PFPeA,0.15117535106218816,0.1550074584640708,0.16081991667095316,0.15566757539907072,0.003964948694190836
PFTeDA,0.6120906801007556,0.8135495382031905,0.7585274979009236,0.7280559054016232,0.08502080662624811
PFUdA,0.7685983936829012,0.909975932285892,0.9088671948943996,0.8624805069543976,0.06638622205896033
PFTrDA,0.7651504889876196,0.9359304310134642,0.9177254625741609,0.8729354608584149,0.07657699976650997
