,0,1,2,mean,std,urine_base
10:2FTCA_10,0.5937,0.2676,0.5295,0.4636,0.14104942396195738,-0.067
10:2FTCA_50,0.75188,0.74056,0.32608,0.6061733333333333,0.19810980479409787,-0.067
10:2FTCA_100,0.54773,0.76334,0.6175200000000001,0.6428633333333333,0.08982810040417319,-0.067
10:2FTOH_10,,,,,,
10:2FTOH_50,,,,,,
10:2FTOH_100,,,,,,
10:2FTUCA_10,0.6656000000000001,0.42469999999999997,0.6212,0.5705,0.10467750474672201,0.054000000000000006
10:2FTUCA_50,0.8368800000000001,0.8369599999999999,0.33129999999999993,0.66838,0.23835155603995264,0.054000000000000006
10:2FTUCA_100,0.57983,0.81808,0.66515,0.6876866666666667,0.09856196573165987,0.054000000000000006
3:3FTCA_10,,,,,,-0.11499999999999999
3:3FTCA_50,,,,,,-0.11499999999999999
3:3FTCA_100,0.019,0.017390000000000003,,0.018195000000000003,0.0008049999999999984,-0.11499999999999999
4:2FTOH_10,,,,,,-498.14200000000005
4:2FTOH_50,-1.7577800000000001,,,-1.7577800000000001,0.0,-498.14200000000005
4:2FTOH_100,-1.1825599999999996,,,-1.1825599999999996,0.0,-498.14200000000005
4:2FTS_10,0.21230000000000002,0.2408,0.23010000000000003,0.22773333333333334,0.01175480989023452,-0.008333333333333333
4:2FTS_50,0.33490000000000003,0.34326,0.29328,0.32381333333333334,0.021858419176346892,-0.008333333333333333
4:2FTS_100,0.29398,0.3751,0.32569000000000004,0.33159,0.0333788465948121,-0.008333333333333333
5:2sFTOH_10,,,,,,2945.245
5:2sFTOH_50,,,,,,2945.245
5:2sFTOH_100,,,,,,2945.245
5:3FTCA_10,0.026600000000000002,,,0.026600000000000002,0.0,-0.041
5:3FTCA_50,0.12279999999999999,0.026080000000000002,,0.07443999999999999,0.04835999999999999,-0.041
5:3FTCA_100,0.00468,0.17905000000000001,0.14922000000000002,0.11098333333333334,0.0761479097254518,-0.041
6:2/8:2diPAP_10,1.7050999999999998,2.1932,1.4898,1.7960333333333331,0.2942725984902812,-0.194
6:2/8:2diPAP_50,2.0538399999999997,1.4333799999999999,,1.7436099999999999,0.3102299999999999,-0.194
6:2/8:2diPAP_100,1.71585,2.47201,3.3032600000000003,2.49704,0.6482990578943231,-0.194
6:2diPAP_10,1.9795666666666665,6.298166666666667,1.5303666666666664,3.2693666666666665,2.1495219995772707,0.35299999999999987
6:2diPAP_50,3.2714733333333332,2.8581533333333335,,3.0648133333333334,0.20665999999999984,0.35299999999999987
6:2diPAP_100,4.020806666666667,4.889686666666666,7.910756666666668,5.607083333333333,1.667117519079631,0.35299999999999987
6:2FTCA_10,0.1238,0.1953,0.1951,0.1714,0.03365838181889716,-0.11199999999999999
6:2FTCA_50,1.0817400000000001,1.18248,2.07598,1.4467333333333332,0.44684125632662375,-0.11199999999999999
6:2FTCA_100,1.29069,1.27392,1.18336,1.2493233333333333,0.04714289789801025,-0.11199999999999999
6:2FTOH_10,,,,,,-274.001
6:2FTOH_50,,,,,,-274.001
6:2FTOH_100,,,,,,-274.001
6:2FTS_10,0.8365333333333332,0.8936333333333332,0.8377333333333332,0.8559666666666667,0.026638860502823453,-0.12933333333333336
6:2FTS_50,1.1222266666666667,1.1355866666666667,0.9656066666666666,1.0744733333333334,0.07717333621285419,-0.12933333333333336
6:2FTS_100,1.0479833333333333,1.2556033333333334,1.0907733333333334,1.1314533333333334,0.08950852063723697,-0.12933333333333336
6:2FTUCA_10,0.7836000000000001,0.8633,0.6391,0.762,0.09279486336358637,-0.026333333333333334
6:2FTUCA_50,0.9978,1.07046,1.5549799999999998,1.2077466666666667,0.24731640966359034,-0.026333333333333334
6:2FTUCA_100,1.08728,1.14283,0.9871500000000001,1.07242,0.0644188393768986,-0.026333333333333334
6:2PAP_10,,,,,,-1.088
6:2PAP_50,0.051239999999999994,,,0.051239999999999994,0.0,-1.088
6:2PAP_100,,,,,,-1.088
6:6PFPi_10,,,,,,
6:6PFPi_50,0.20994,,,0.20994,0.0,
6:6PFPi_100,,,,,,
6:8PFPi_10,,,,,,
6:8PFPi_50,0.0634,,,0.0634,0.0,
6:8PFPi_100,,,,,,
7:2sFTOH_10,,,,,,
7:2sFTOH_50,,,,,,
7:2sFTOH_100,,,,,,
7:3FTCA_10,0.0211,0.19390000000000002,,0.10750000000000001,0.0864,-0.03333333333333333
7:3FTCA_50,0.25922,0.22577999999999998,0.02746,0.17082,0.10228595732878812,-0.03333333333333333
7:3FTCA_100,0.05944,0.34897,0.25668,0.22169666666666665,0.1207608668218126,-0.03333333333333333
8:2diPAP_10,0.4673,0.5195000000000001,0.7517,0.5795,0.1236145622489519,
