,0,1,2,mean,std,urine_base
8:2diPAP_50,1.9347999999999999,1.6763599999999999,,1.80558,0.12922,
8:2diPAP_100,1.53517,2.0966,2.37577,2.0025133333333334,0.34956288478930697,
8:2FTCA_10,0.9414999999999999,0.7958000000000001,0.9654999999999999,0.9009333333333333,0.07498339075347872,
8:2FTCA_50,1.30716,1.2470999999999999,1.1901000000000002,1.2481200000000001,0.04779498718485023,
8:2FTCA_100,1.21922,1.38785,1.2642499999999999,1.29044,0.07129028124506177,
8:2FTOH_10,,,,,,
8:2FTOH_50,,,,,,
8:2FTOH_100,,,,,,
8:2FTS_10,0.6219666666666666,0.7255666666666667,0.5652666666666666,0.6376,0.06636928673883899,0.0
8:2FTS_50,0.8661533333333332,0.8847533333333333,0.6826933333333334,0.8111999999999999,0.0911846570914695,0.0
8:2FTS_100,0.8086866666666667,0.9441666666666667,0.8292166666666667,0.86069,0.0596189882131151,0.0
8:2FTUCA_10,0.9356,1.0128,0.9143000000000001,0.9542333333333334,0.0423159806955034,0.047333333333333324
8:2FTUCA_50,1.3115,1.32656,1.16666,1.2682400000000003,0.07209055971484754,0.047333333333333324
8:2FTUCA_100,1.22403,1.44799,1.25363,1.30855,0.09933671761572696,0.047333333333333324
8:2PAP_10,,,,,,-3.0430000000000006
8:2PAP_50,0.05694,,,0.05694,0.0,-3.0430000000000006
8:2PAP_100,,,,,,-3.0430000000000006
8:8PFPi_10,,,,,,-0.0015
8:8PFPi_50,0.01568,,,0.01568,0.0,-0.0015
8:8PFPi_100,,,,,,-0.0015
8Cl-PFOS_10,0.7089000000000001,0.7579,0.7078,0.7248666666666667,0.023362410454022542,-0.08166666666666667
8Cl-PFOS_50,0.9828,0.99586,0.81012,0.9295933333333334,0.08464848466189787,-0.08166666666666667
8Cl-PFOS_100,0.83922,1.05723,0.90402,0.9334899999999999,0.09140915599654113,-0.08166666666666667
Cl-PFHxPA_10,0.1754,0.3205,0.5387,0.34486666666666665,0.14931403893211853,-0.22233333333333336
Cl-PFHxPA_50,1.7902799999999999,1.85778,1.3241,1.6573866666666668,0.2372748956145358,-0.22233333333333336
Cl-PFHxPA_100,1.57106,2.33178,2.00361,1.9688166666666669,0.3115356176890356,-0.22233333333333336
Cl-PFOPA_10,0.1166,0.1528,0.1367,0.13536666666666666,0.014808631116870847,-0.16866666666666666
Cl-PFOPA_50,0.87004,1.03114,0.70182,0.8676666666666667,0.1344548006663288,-0.16866666666666666
Cl-PFOPA_100,0.80147,1.13184,0.9087999999999999,0.9473699999999999,0.13760285341033687,-0.16866666666666666
FOSA_10,0.1645,0.0211,0.3214,0.169,0.12263824851978276,-0.036333333333333336
FOSA_50,0.23576,0.16455999999999998,0.0548,0.15170666666666668,0.07443357904124245,-0.036333333333333336
FOSA_100,0.09154999999999999,0.44104999999999994,0.41033000000000003,0.31431000000000003,0.1580135918204507,-0.036333333333333336
L-PFBS_10,368.54966666666667,374.6963666666667,364.74146666666667,369.32916666666665,4.101278149552897,-154.38099999999997
L-PFBS_50,445.6710933333333,512.9099333333334,398.1434533333333,452.2414933333334,47.08300365678754,-154.38099999999997
L-PFBS_100,389.4862766666666,499.86516666666665,409.1093266666666,432.82025666666664,48.08000964022854,-154.38099999999997
L-PFDOS_10,259.8366,335.3421,282.3866,292.5217666666667,31.647130834493616,-0.8314999999999984
L-PFDOS_50,435.05394,330.95279999999997,194.42309999999998,320.14328,98.53403669713731,-0.8314999999999984
L-PFDOS_100,303.68100000000004,471.70824,263.5054,346.2982133333333,90.18231829740066,-0.8314999999999984
L-PFDS_10,901.9302666666666,1058.7918666666667,943.1773666666666,967.9664999999999,66.39410735501227,48.19333333333333
L-PFDS_50,1315.876353333333,1265.0456533333333,958.0610533333333,1179.66102,158.06295989388386,48.19333333333333
L-PFDS_100,1163.9045966666665,1385.4201966666667,1261.6096866666664,1270.3114933333334,90.64245267455368,48.19333333333333
L-PFHpS_10,688.5289333333334,742.2100333333334,721.7605333333333,717.4998333333333,22.121336573091604,-1090.1830000000004
L-PFHpS_50,939.3452066666667,962.2008666666667,809.2225066666667,903.5895266666666,67.37678208537021,-1090.1830000000004
L-PFHpS_100,835.2331533333333,1024.3689333333332,869.6406233333333,909.74757,82.25777044245005,-1090.1830000000004
L-PFHxS_10,224.55696666666668,251.0849666666667,301.37416666666667,259.0053666666667,31.85665923141763,-1840.9140000000002
L-PFHxS_50,315.8714533333333,316.92009333333334,276.84431333333333,303.21195333333327,18.649651307546385,-1840.9140000000002
L-PFHxS_100,260.14055666666667,358.7998466666667,295.5495966666667,304.83,40.80856356491887,-1840.9140000000002
L-PFNS_10,1008.0301,1172.9973,1001.6052,1060.8775333333333,79.32402491487406,47.573333333333316
L-PFNS_50,1413.02682,1443.7163,1155.7488600000001,1337.4973266666668,129.1248488800172,47.573333333333316
L-PFNS_100,1301.6067,1485.80109,1387.2288,1391.54553,75.25897043005433,47.573333333333316
L-PFOS_10,69.26713333333332,77.13333333333333,82.09853333333334,76.16633333333333,5.282835301868376,-462.14566666666656
L-PFOS_50,97.94506666666666,96.14650666666667,85.82878666666667,93.30678666666665,5.338480902429075,-462.14566666666656
L-PFOS_100,90.96806333333333,108.38985333333333,92.71058333333335,97.35616666666665,7.834359156146012,-462.14566666666656
L-PFPES_10,453.0974,461.4306,472.43739999999997,462.3218,7.920630365486479,-1555.3826666666664
L-PFPES_50,569.8176599999999,616.23046,515.92634,567.3248199999999,40.98690693943454,-1555.3826666666664
L-PFPES_100,464.04438999999996,630.4708599999999,519.78327,538.0995066666666,69.16673513275596,-1555.3826666666664
"N,N-Me2FOSA_10",,,,,,
"N,N-Me2FOSA_50",0.47228000000000003,,,0.47228000000000003,0.0,
"N,N-Me2FOSA_100",3.95212,1.32507,,2.638595,1.313525,
N-EtFOSA_10,,,,,,
N-EtFOSA_50,0.47228000000000003,,,0.47228000000000003,0.0,
N-EtFOSA_100,3.95212,1.32507,,2.638595,1.313525,
N-EtFOSE_10,0.8562,2.7272,,1.7916999999999998,0.9354999999999999,
N-EtFOSE_50,4.63042,,,4.63042,0.0,
N-EtFOSE_100,7.71606,,,7.71606,0.0,
N-MeFOSA_10,,,,,,
N-MeFOSA_50,1.7536,,,1.7536,0.0,
N-MeFOSA_100,5.2578,2.61797,,3.9378849999999996,1.3199149999999997,
N-MeFOSE_10,1.5522,3.4714,,2.5118,0.9596,
N-MeFOSE_50,5.41504,,,5.41504,0.0,
N-MeFOSE_100,8.94679,,,8.94679,0.0,
PFBA_10,,,,,,406.04200000000003
PFBA_50,2.547639999999999,,,2.547639999999999,0.0,406.04200000000003
PFBA_100,4.2736,,,4.2736,0.0,406.04200000000003
PFDA_10,,,,,,
PFDA_50,,,,,,
PFDA_100,,,,,,
PFDoA_10,,,,,,-306746.864
PFDoA_50,,,,,,-306746.864
PFDoA_100,,,,,,-306746.864
PFDPA_10,2.6341,2.4874,2.5356,2.5523666666666665,0.06105223628627831,-0.26233333333333336
PFDPA_50,3.4749,3.57192,2.56134,3.20272,0.45525044272356285,-0.26233333333333336
PFDPA_100,2.7475799999999997,3.72534,3.33805,3.2703233333333337,0.4020313672947535,-0.26233333333333336
PFHpA_10,774.0534,915.0491,770.1804,819.7609666666667,67.39743465871348,-22.13633333333334
PFHpA_50,1078.3084,1065.83938,1002.62094,1048.9229066666667,33.13380150079299,-22.13633333333334
PFHpA_100,1072.07198,1254.75162,1106.67994,1144.50118,79.22877155842484,-22.13633333333334
PFHxA_10,631.6023,747.8334,595.9488,658.4615,64.85005987028846,-75.95800000000001
PFHxA_50,826.2419,845.56376,754.4431,808.7495866666667,39.2022910811986,-75.95800000000001
PFHxA_100,795.0741899999999,939.2356100000001,831.11706,855.1422866666667,61.25649566314113,-75.95800000000001
PFHxDA_10,,,,,,-55221.305
PFHxDA_50,,,,,,-55221.305
PFHxDA_100,,,,,,-55221.305
PFHxPA_10,,,,,,-0.1975
PFHxPA_50,0.00848,0.00954,0.0089,0.008973333333333333,0.0004358389100981641,-0.1975
PFHxPA_100,0.00961,0.00488,0.005639999999999999,0.00671,0.0020739495332979217,-0.1975
PFNA_10,951.4665666666667,1015.3787666666667,913.9144666666667,960.2532666666667,41.88600097319707,121.89633333333335
PFNA_50,1290.7951333333333,1269.6398733333333,1080.2864333333332,1213.5738133333332,94.64329702225865,121.89633333333335
PFNA_100,1149.8577566666668,1400.5737566666667,1243.7398166666667,1264.7237766666667,103.42428179417439,121.89633333333335
PFOA_10,187.48543333333333,199.19243333333333,181.82783333333333,189.50189999999998,7.231041264499107,153.273
PFOA_50,244.62550666666667,246.84786666666668,210.88204666666664,234.11847333333333,16.455664965170993,153.273
PFOA_100,224.42025333333333,272.37551333333334,233.60120333333333,243.46565666666666,20.78312328294336,153.273
PFODA_10,44.3514,364.2893,10.9437,139.86146666666667,159.27943555450662,
PFODA_50,116.27644000000001,827.4105400000001,30.79634,324.82777333333337,357.0889617324544,
PFODA_100,46.71957999999999,20.88723,24.76308,30.789963333333333,11.374534969712922,
PFOPA_10,0.24630000000000002,0.6167,0.6867,0.5165666666666667,0.19323224943632525,-0.12899999999999998
PFOPA_50,1.27706,1.55092,1.15734,1.32844,0.1647345994825212,-0.12899999999999998
PFOPA_100,1.2636100000000001,1.84823,1.49124,1.5343600000000002,0.24060983202410216,-0.12899999999999998
PFPeA_10,,,,,,202.8283333333333
PFPeA_50,,,,,,202.8283333333333
PFPeA_100,,,,,,202.8283333333333
PFTeDA_10,,,,,,-38596.1365
PFTeDA_50,,,,,,-38596.1365
PFTeDA_100,,,,,,-38596.1365
PFTrDA_10,,,,,,-114623.577
PFTrDA_50,,,,,,-114623.577
PFTrDA_100,,,,,,-114623.577
PFUdA_10,,,,,,-313357.3563333333
PFUdA_50,,,,,,-313357.3563333333
PFUdA_100,,,,,,-313357.3563333333
