,0
L-PFBS_1,-0.13499999999999995
L-PFBS_2,-0.06699999999999995
L-PFBS_3,-0.09199999999999997
L-PFDOS_1,
L-PFDOS_2,-0.0005000000000000004
L-PFDOS_3,
L-PFDS_1,-0.009333333333333305
L-PFDS_2,0.08266666666666672
L-PFDS_3,0.01966666666666672
L-PFHpS_1,-1.2473333333333332
L-PFHpS_2,-1.5373333333333332
L-PFHpS_3,-1.133333333333333
L-PFHxS_1,-10.074666666666669
L-PFHxS_2,-13.70566666666667
L-PFHxS_3,-7.520666666666669
L-PFNS_1,-0.022333333333333316
L-PFNS_2,0.10566666666666663
L-PFNS_3,0.021666666666666667
L-PFOS_1,-7.466333333333333
L-PFOS_2,-10.843333333333332
L-PFOS_3,-2.737333333333332
L-PFPES_1,-2.0229999999999997
L-PFPES_2,-2.606
L-PFPES_3,-2.183
PFBA_1,
PFBA_2,
PFBA_3,
PFDA_1,
PFDA_2,-0.00033333333333335213
PFDA_3,
PFDoA_1,-0.029666666666666675
PFDoA_2,0.08033333333333333
PFDoA_3,0.020333333333333328
PFHpA_1,-0.019333333333333313
PFHpA_2,-0.06733333333333333
PFHpA_3,
PFHxA_1,
PFHxA_2,
PFHxA_3,
PFHxDA_1,
PFHxDA_2,
PFHxDA_3,
PFNA_1,0.11266666666666666
PFNA_2,0.12766666666666668
PFNA_3,0.0966666666666667
PFOA_1,1.1293333333333333
PFOA_2,1.1953333333333334
PFOA_3,1.1533333333333333
PFODA_1,
PFODA_2,
PFODA_3,
PFPeA_1,
PFPeA_2,
PFPeA_3,
PFTeDA_1,
PFTeDA_2,
PFTeDA_3,0.006999999999999951
PFUdA_1,-0.030999999999999972
PFUdA_2,0.11300000000000004
PFUdA_3,0.02300000000000002
PFTrDA_1,-0.003666666666666707
PFTrDA_2,0.0033333333333332993
PFTrDA_3,0.02133333333333326
